formula,rA,rB,rX,chi_A,chi_B,chi_X,tolerance_factor,octahedral_factor,volume,density
FANiS3,2.53,0.74,0.88,2.57,1.91,2.58,1.4886409275848218,0.8409090909090909,34.012224,9.762075258644064
FANiSe3,2.53,0.74,1.0133333333333334,2.57,1.91,2.55,1.4292167945746228,0.7302631578947367,43.12046696296297,13.117860947346164
FACuI3,2.53,0.82,1.2733333333333334,2.57,1.9,2.66,1.2849214857791513,0.643979057591623,73.38463762962962,11.072521651481336
FACuBr3,2.53,0.82,0.8825000000000001,2.57,1.9,2.96,1.4175426353208005,0.9291784702549574,39.477655125000005,14.65155831972438
FACuCl3,2.53,0.82,0.7799999999999999,2.57,1.9,3.16,1.4630480905233383,1.0512820512820513,32.767999999999994,10.893741583594531
FACuF3,2.53,0.82,0.705,2.57,1.9,3.98,1.5002202796392052,1.1631205673758864,28.372624999999996,9.692219375034899
FACuO3,2.53,0.82,1.26,2.57,1.9,3.44,1.2886247415950387,0.6507936507936507,71.991296,3.612290444219416
FACuS3,2.53,0.82,0.88,2.57,1.9,2.58,1.418587236874948,0.9318181818181818,39.303999999999995,8.652758259406129
FACuSe3,2.53,0.82,1.0133333333333334,2.57,1.9,2.55,1.3668509708113668,0.8092105263157894,49.296296296296305,11.637921161102003
FAZnI3,2.53,0.88,1.2733333333333334,2.57,1.65,2.66,1.2491187199215277,0.6910994764397905,79.87737362962963,10.211235154207989
FAZnBr3,2.53,0.88,0.8825000000000001,2.57,1.65,2.96,1.3692858647566883,0.9971671388101983,43.800328125000014,13.276220701426485
FAZnCl3,2.53,0.88,0.7799999999999999,2.57,1.65,3.16,1.4101668342393618,1.1282051282051284,36.594367999999996,9.839212985006867
FAZnF3,2.53,0.88,0.705,2.57,1.65,3.98,1.443429606592926,1.24822695035461,31.855013,8.72978335742929
FAZnO3,2.53,0.88,1.26,2.57,1.65,3.44,1.2524950759428413,0.6984126984126984,78.402752,3.3563506444297473
FAZnS3,2.53,0.88,0.88,2.57,1.65,2.58,1.3702263083451203,1.0,43.614208,7.868575011615312
FAZnSe3,2.53,0.88,1.0133333333333334,2.57,1.65,2.55,1.323535271032133,0.8684210526315789,54.296424296296316,10.623168540077513
FAGaI3,2.53,0.76,1.2733333333333334,2.57,1.81,2.66,1.3228372017529624,0.5968586387434555,67.25362962962961,12.234438247318854
FAGaBr3,2.53,0.76,0.8825000000000001,2.57,1.81,2.96,1.46932501469325,0.8611898016997167,35.449174125000006,16.605931463614162
FAGaCl3,2.53,0.76,0.7799999999999999,2.57,1.81,3.16,1.5200499641800915,0.9743589743589745,29.218112,12.568351910718816
FAGaF3,2.53,0.76,0.705,2.57,1.81,3.98,1.5616627484298895,1.0780141843971631,25.15375699999999,11.340297805897166
FAGaO3,2.53,0.76,1.26,2.57,1.81,3.44,1.3269007240186537,0.6031746031746031,65.93926400000001,4.0993915276237
FAGaS3,2.53,0.76,0.88,2.57,1.81,2.58,1.4704867699313484,0.8636363636363636,35.287552000000005,9.92829993418839
FAGaSe3,2.53,0.76,1.0133333333333334,2.57,1.81,2.55,1.4130978081696461,0.75,44.6129682962963,13.089552695167153
FAGeI3,2.53,0.77,1.2733333333333334,2.57,2.01,2.66,1.3163632839629804,0.6047120418848168,68.2507842962963,12.126663346429073
FAGeBr3,2.53,0.77,0.8825000000000001,2.57,2.01,2.96,1.4604334866164377,0.8725212464589235,36.100597625000006,16.44046084238892
FAGeCl3,2.53,0.77,0.7799999999999999,2.57,2.01,3.16,1.5102431902176394,0.9871794871794873,29.79099999999999,12.489255797454701
FAGeF3,2.53,0.77,0.705,2.57,2.01,3.98,1.5510752043727374,1.0921985815602837,25.672375000000006,11.299889511443592
FAGeO3,2.53,0.77,1.26,2.57,2.01,3.44,1.3203642672500888,0.6111111111111112,66.92341600000003,4.111487164052095
FAGeS3,2.53,0.77,0.88,2.57,2.01,2.58,1.4615747289014616,0.875,35.937,9.883666023275335
FAGeSe3,2.53,0.77,1.0133333333333334,2.57,2.01,2.55,1.4051738952266386,0.7598684210526315,45.37196296296297,12.977346947982188
FAAsI3,2.53,0.6599999999999999,1.2733333333333334,2.57,2.18,2.66,1.391259815636736,0.5183246073298429,57.81096296296296,14.382100144519777
FAAsBr3,2.53,0.6599999999999999,0.8825000000000001,2.57,2.18,2.96,1.564581093441597,0.7478753541076486,29.360639125,20.343536582811865
FAAsCl3,2.53,0.6599999999999999,0.7799999999999999,2.57,2.18,3.16,1.6256089894703756,0.8461538461538461,23.887871999999998,15.734184859810727
FAAsF3,2.53,0.6599999999999999,0.705,2.57,2.18,3.98,1.6760702757873907,0.9361702127659574,20.346416999999988,14.444006307836444
FAAsO3,2.53,0.6599999999999999,1.26,2.57,2.18,3.44,1.3960101367279585,0.5238095238095237,56.62310399999999,4.926320188169878
FAAsS3,2.53,0.6599999999999999,0.88,2.57,2.18,2.58,1.5659729238229947,0.7499999999999999,29.218112,12.286149097243841
FAAsSe3,2.53,0.6599999999999999,1.0133333333333334,2.57,2.18,2.55,1.497545884355083,0.6513157894736841,37.48326162962963,15.809629520245874
FARbI3,2.53,1.66,1.2733333333333334,2.57,0.82,2.66,0.916966696669667,1.3036649214659684,201.9176296296297,4.20446618153824
FARbBr3,2.53,1.66,0.8825000000000001,2.57,0.82,2.96,0.949209965244312,1.8810198300283283,131.483989125,4.675945920680624
FARbCl3,2.53,1.66,0.7799999999999999,2.57,0.82,3.16,0.9593757970644838,2.128205128205128,116.214272,3.3848594809868198
FARbF3,2.53,1.66,0.705,2.57,0.82,3.98,0.9673724847567814,2.354609929078014,105.82381699999996,2.942594311633601
FARbO3,2.53,1.66,1.26,2.57,0.82,3.44,0.9179244734649591,1.3174603174603174,199.17670399999997,1.488408638400438
FARbS3,2.53,1.66,0.88,2.57,0.82,2.58,0.9494481506643352,1.8863636363636362,131.09651200000002,2.871860288866068
FARbSe3,2.53,1.66,1.0133333333333334,2.57,0.82,2.55,0.9373666258681442,1.6381578947368418,152.8443282962963,3.991703668858746
FASrI3,2.53,1.32,1.2733333333333334,2.57,0.95,2.66,1.0371859808088777,1.0366492146596857,139.52917096296304,6.110046630866518
FASrBr3,2.53,1.32,0.8825000000000001,2.57,0.95,2.96,1.0957395399017766,1.4957507082152974,85.47473012500001,7.234722091490994
